Alignment,Table,Name,DataCategory,DataType,Type,Expression,FormatString,SortByColumn,SourceColumn,SummarizeBy
Default,DateTableTemplate_0f06653c-2446-478b-8653-cefd16c37e6c,Date,PaddedDateTableDates,Date,CalculatedTableColumn,,,,Date,None
Default,LocalDateTable_03c279a8-6365-4370-bb29-a35ff92fbd9a,Date,PaddedDateTableDates,Date,CalculatedTableColumn,,,,Date,None
Default,LocalDateTable_8e61a952-7be0-4834-b1df-b9b106458fc1,Date,PaddedDateTableDates,Date,CalculatedTableColumn,,,,Date,None
Default,DIM_Products,ProductCost,Regular,Currency,Data,,"""₹""\ #,0.###############;#,0.###############\ -""₹"";""₹""\ #,0.###############",,ProductCost,Sum
Default,DIM_Products,ProductPrice,Regular,Currency,Data,,"""₹""\ #,0.###############;#,0.###############\ -""₹"";""₹""\ #,0.###############",,ProductPrice,Sum
Default,DIM_Customers,CustomerDOB,Regular,Date,Data,,Long Date,,CustomerDOB,None
Default,DIM_Orders,DeliveryDate,Regular,Date,Data,,Long Date,,DeliveryDate,None
Default,DIM_Orders,OrderDate,Regular,Date,Data,,Long Date,,OrderDate,None
Default,DIM_Stores,StoreOpenDate,Regular,Date,Data,,Long Date,,StoreOpenDate,None
Default,Calender,Date,Regular,Date,CalculatedTableColumn,,Short Date,,Date,None
Default,Customer Order Distribution,First_Purchease_Date,Regular,Date,CalculatedTableColumn,,Short Date,,First_Purchease_Date,None
Default,AVG_Parameter,AVG_Parameter Order,Regular,Integer,CalculatedTableColumn,,0,,AVG_Parameter Order,Sum
Default,Customer_Parameter,Customer_Parameter Order,Regular,Integer,CalculatedTableColumn,,0,,Customer_Parameter Order,Sum
Default,Customer Order Distribution,CustomerID,Regular,Integer,CalculatedTableColumn,,0,,CustomerID,None
Default,DIM_Orders,CustomerID,Regular,Integer,Data,,0,,CustomerID,None
Default,Table,ID,Regular,Integer,CalculatedTableColumn,,0,,ID,Count
Default,FACT_Order_Line_Items,LineItem,Regular,Integer,Data,,0,,LineItem,Sum
Default,MovingAVG-DAYS,MovingAVG-DAYS,Regular,Integer,CalculatedTableColumn,,0,,MovingAVG-DAYS,None
Default,Number_TopButtom,Number_TopButtom,Regular,Integer,CalculatedTableColumn,,0,,Number_TopButtom,None
Default,DIM_Orders,OrderNumber,Regular,Integer,Data,,0,,OrderNumber,None
Default,FACT_Order_Line_Items,OrderNumber,Regular,Integer,Data,,0,,OrderNumber,None
Default,Customer Order Distribution,OrdersCount,Regular,Integer,CalculatedTableColumn,,0,,OrdersCount,None
Default,Parameter_CUS_NUMBER,Parameter,Regular,Integer,CalculatedTableColumn,,0,,Parameter,None
Default,ParameterMAIN,Parameter Order,Regular,Integer,CalculatedTableColumn,,0,,Parameter Order,Sum
Default,Parameter_Geo ,Parameter_Geo  Order,Regular,Integer,CalculatedTableColumn,,0,,Parameter_Geo  Order,Sum
Default,Parameter_product,Parameter_product Order,Regular,Integer,CalculatedTableColumn,,0,,Parameter_product Order,Sum
Default,Parameter_product_scraterplot,Parameter_product_scraterplot Order,Regular,Integer,CalculatedTableColumn,,0,,Parameter_product_scraterplot Order,Sum
Default,DIM_Product_Category,ProductCategoryID,Regular,Integer,Data,,0,,ProductCategoryID,None
Default,DIM_product_subcatagory,ProductCategoryID,Regular,Integer,Data,,0,,ProductCategoryID,None
Default,Store_Product_Relation,ProductID,Regular,Integer,Data,,0,,ProductID,Count
Default,DIM_Products,ProductID,Regular,Integer,Data,,0,,ProductID,None
